Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"NiftyFit: a Software Package for Multi-parametric Model-Fitting of 4D Magnetic Resonance Imaging Data.","/pubmed/26972806","Melbourne A, Toussaint N, Owen D, Simpson I, Anthopoulos T, De Vita E, Atkinson D, Ourselin S.","Neuroinformatics. 2016 Jul;14(3):319-37. doi: 10.1007/s12021-016-9297-6.","Neuroinformatics.  2016","PubMed","citation","PMID:26972806 | PMCID:PMC4896995","pubmed","26972806","create date:2016/03/15 | first author:Melbourne A",
"Individual differences in reasoning and visuospatial attention are associated with prefrontal and parietal white matter tracts in healthy older adults.","/pubmed/26986750","Monge ZA, Greenwood PM, Parasuraman R, Strenziok M.","Neuropsychology. 2016 Jul;30(5):558-67. doi: 10.1037/neu0000264. Epub 2016 Mar 17.","Neuropsychology.  2016","PubMed","citation","PMID:26986750 | PMCID:PMC4925207","pubmed","26986750","create date:2016/03/18 | first author:Monge ZA",
"Spatiotemporal changes in diffusion, T2 and susceptibility of white matter following mild traumatic brain injury.","/pubmed/27149577","Li W, Long JA, Watts L, Shen Q, Liu Y, Jiang Z, Duong TQ.","NMR Biomed. 2016 Jul;29(7):896-903. doi: 10.1002/nbm.3536. Epub 2016 May 5.","NMR Biomed.  2016","PubMed","citation","PMID:27149577 | PMCID:PMC4909565","pubmed","27149577","create date:2016/05/06 | first author:Li W",
"Limited Evidence for Association of Genome-Wide Schizophrenia Risk Variants on Cortical Neuroimaging Phenotypes.","/pubmed/26712857","Voineskos AN, Felsky D, Wheeler AL, Rotenberg DJ, Levesque M, Patel S, Szeszko PR, Kennedy JL, Lencz T, Malhotra AK.","Schizophr Bull. 2016 Jul;42(4):1027-36. doi: 10.1093/schbul/sbv180. Epub 2015 Dec 27.","Schizophr Bull.  2016","PubMed","citation","PMID:26712857 | PMCID:PMC4903045","pubmed","26712857","create date:2015/12/30 | first author:Voineskos AN",
"Narcissism is associated with weakened frontostriatal connectivity: a DTI study.","/pubmed/26048178","Chester DS, Lynam DR, Powell DK, DeWall CN.","Soc Cogn Affect Neurosci. 2016 Jul;11(7):1036-40. doi: 10.1093/scan/nsv069. Epub 2015 Jun 5.","Soc Cogn Affect Neurosci.  2016","PubMed","citation","PMID:26048178 | PMCID:PMC4927024","pubmed","26048178","create date:2015/06/07 | first author:Chester DS",
"The Effect of Pulsatility Index on Infarct Volume in Acute Lacunar Stroke.","/pubmed/27189290","Kim Y, Lee H, An SA, Yim B, Kim J, Kim OJ, Kim WC, Kim HS, Oh SH, Kim J.","Yonsei Med J. 2016 Jul;57(4):950-5. doi: 10.3349/ymj.2016.57.4.950.","Yonsei Med J.  2016","PubMed","citation","PMID:27189290 | PMCID:PMC4951473","pubmed","27189290","create date:2016/05/18 | first author:Kim Y",
"How to Direct the Edges of the Connectomes: Dynamics of the Consensus Connectomes and the Development of the Connections in the Human Brain.","/pubmed/27362431","Kerepesi C, Szalkai B, Varga B, Grolmusz V.","PLoS One. 2016 Jun 30;11(6):e0158680. doi: 10.1371/journal.pone.0158680. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27362431 | PMCID:PMC4928947","pubmed","27362431","create date:2016/07/01 | first author:Kerepesi C",
"Brain white matter structure and COMT gene are linked to second-language learning in adults.","/pubmed/27298360","Mamiya PC, Richards TL, Coe BP, Eichler EE, Kuhl PK.","Proc Natl Acad Sci U S A. 2016 Jun 28;113(26):7249-54. doi: 10.1073/pnas.1606602113. Epub 2016 Jun 13.","Proc Natl Acad Sci U S A.  2016","PubMed","citation","PMID:27298360 | PMCID:PMC4932981","pubmed","27298360","create date:2016/06/15 | first author:Mamiya PC",
"Diffusion Tensor Imaging of White Matter Injury Caused by Prematurity-Induced Hypoxic-Ischemic Brain Damage.","/pubmed/27338673","Zhang F, Liu C, Qian L, Hou H, Guo Z.","Med Sci Monit. 2016 Jun 24;22:2167-74.","Med Sci Monit.  2016","PubMed","citation","PMID:27338673 | PMCID:PMC4933547","pubmed","27338673","create date:2016/06/25 | first author:Zhang F",
"Hyperglycemia Reduces Efficiency of Brain Networks in Subjects with Type 2 Diabetes.","/pubmed/27336309","Kim DJ, Yu JH, Shin MS, Shin YW, Kim MS.","PLoS One. 2016 Jun 23;11(6):e0157268. doi: 10.1371/journal.pone.0157268. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27336309 | PMCID:PMC4918925","pubmed","27336309","create date:2016/06/24 | first author:Kim DJ",
"Subcortical White Matter Changes with Normal Aging Detected by Multi-Shot High Resolution Diffusion Tensor Imaging.","/pubmed/27332713","Xie S, Zhang Z, Chang F, Wang Y, Zhang Z, Zhou Z, Guo H.","PLoS One. 2016 Jun 22;11(6):e0157533. doi: 10.1371/journal.pone.0157533. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27332713 | PMCID:PMC4917173","pubmed","27332713","create date:2016/06/23 | first author:Xie S",
"Hyperintense Acute Reperfusion Marker on FLAIR in Posterior Circulation Infarction.","/pubmed/27326459","Förster A, Wenz H, Böhme J, Al-Zghloul M, Groden C.","PLoS One. 2016 Jun 21;11(6):e0157738. doi: 10.1371/journal.pone.0157738. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27326459 | PMCID:PMC4915711","pubmed","27326459","create date:2016/06/22 | first author:Förster A",
"The brain imaging data structure, a format for organizing and describing outputs of neuroimaging experiments.","/pubmed/27326542","Gorgolewski KJ, Auer T, Calhoun VD, Craddock RC, Das S, Duff EP, Flandin G, Ghosh SS, Glatard T, Halchenko YO, Handwerker DA, Hanke M, Keator D, Li X, Michael Z, Maumet C, Nichols BN, Nichols TE, Pellman J, Poline JB, Rokem A, Schaefer G, et al.","Sci Data. 2016 Jun 21;3:160044. doi: 10.1038/sdata.2016.44.","Sci Data.  2016","PubMed","citation","PMID:27326542 | PMCID:PMC4978148","pubmed","27326542","create date:2016/06/22 | first author:Gorgolewski KJ",
"Structural Brain Alterations in Motor Subtypes of Parkinson's Disease: Evidence from Probabilistic Tractography and Shape Analysis.","/pubmed/27314952","Vervoort G, Leunissen I, Firbank M, Heremans E, Nackaerts E, Vandenberghe W, Nieuwboer A.","PLoS One. 2016 Jun 17;11(6):e0157743. doi: 10.1371/journal.pone.0157743. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27314952 | PMCID:PMC4912098","pubmed","27314952","create date:2016/06/18 | first author:Vervoort G",
"Relationship between neuropsychological impairment and grey and white matter changes in adult-onset myotonic dystrophy type 1.","/pubmed/27437180","Baldanzi S, Cecchi P, Fabbri S, Pesaresi I, Simoncini C, Angelini C, Bonuccelli U, Cosottini M, Siciliano G.","Neuroimage Clin. 2016 Jun 15;12:190-7. doi: 10.1016/j.nicl.2016.06.011. eCollection 2016.","Neuroimage Clin.  2016","PubMed","citation","PMID:27437180 | PMCID:PMC4939389","pubmed","27437180","create date:2016/07/21 | first author:Baldanzi S",
"White Matter Abnormalities in Patients with Treatment-Resistant Genetic Generalized Epilepsies.","/pubmed/27283395","Szaflarski JP, Lee S, Allendorfer JB, Gaston TE, Knowlton RC, Pati S, Ver Hoef LW, Deutsch G.","Med Sci Monit. 2016 Jun 10;22:1966-75.","Med Sci Monit.  2016","PubMed","citation","PMID:27283395 | PMCID:PMC4917325","pubmed","27283395","create date:2016/06/11 | first author:Szaflarski JP",
"Organizational topology of brain and its relationship to ADHD in adolescents with d-transposition of the great arteries.","/pubmed/27547505","Schmithorst VJ, Panigrahy A, Gaynor JW, Watson CG, Lee V, Bellinger DC, Rivkin MJ, Newburger JW.","Brain Behav. 2016 Jun 9;6(8):e00504. doi: 10.1002/brb3.504. eCollection 2016 Aug.","Brain Behav.  2016","PubMed","citation","PMID:27547505 | PMCID:PMC4980474","pubmed","27547505","create date:2016/08/23 | first author:Schmithorst VJ",
"A Method for Automated Classification of Parkinson's Disease Diagnosis Using an Ensemble Average Propagator Template Brain Map Estimated from Diffusion MRI.","/pubmed/27280486","Banerjee M, Okun MS, Vaillancourt DE, Vemuri BC.","PLoS One. 2016 Jun 9;11(6):e0155764. doi: 10.1371/journal.pone.0155764. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27280486 | PMCID:PMC4900548","pubmed","27280486","create date:2016/06/10 | first author:Banerjee M",
"Reduced frontal-subcortical white matter connectivity in association with suicidal ideation in major depressive disorder.","/pubmed/27271861","Myung W, Han CE, Fava M, Mischoulon D, Papakostas GI, Heo JY, Kim KW, Kim ST, Kim DJ, Kim DK, Seo SW, Seong JK, Jeon HJ.","Transl Psychiatry. 2016 Jun 7;6(6):e835. doi: 10.1038/tp.2016.110.","Transl Psychiatry.  2016","PubMed","citation","PMID:27271861 | PMCID:PMC4931608","pubmed","27271861","create date:2016/06/09 | first author:Myung W",
"A Whole-Brain Investigation of White Matter Microstructure in Adolescents with Conduct Disorder.","/pubmed/27271503","Sarkar S, Dell'Acqua F, Froudist Walsh S, Blackwood N, Scott S, Craig MC, Deeley Q, Murphy DG.","PLoS One. 2016 Jun 6;11(6):e0155475. doi: 10.1371/journal.pone.0155475. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27271503 | PMCID:PMC4894575","pubmed","27271503","create date:2016/06/09 | first author:Sarkar S",
"Analysis of the relationships between type 2 diabetes status, glycemic control, and neuroimaging measures in the Diabetes Heart Study Mind.","/pubmed/26525870","Raffield LM, Cox AJ, Freedman BI, Hugenschmidt CE, Hsu FC, Wagner BC, Xu J, Maldjian JA, Bowden DW.","Acta Diabetol. 2016 Jun;53(3):439-47. doi: 10.1007/s00592-015-0815-z. Epub 2015 Nov 2.","Acta Diabetol.  2016","PubMed","citation","PMID:26525870 | PMCID:PMC4853281","pubmed","26525870","create date:2015/11/04 | first author:Raffield LM",
"Relation between aerobic fitness and brain structures in amnestic mild cognitive impairment elderly.","/pubmed/27106271","Teixeira CV, Rezende TJ, Weiler M, Nogueira MH, Campos BM, Pegoraro LF, Vicentini JE, Scriptore G, Cendes F, Balthazar ML.","Age (Dordr). 2016 Jun;38(3):51. doi: 10.1007/s11357-016-9912-3. Epub 2016 Apr 23.","Age (Dordr).  2016","PubMed","citation","PMID:27106271 | PMCID:PMC5005905","pubmed","27106271","create date:2016/04/24 | first author:Teixeira CV",
"Autoimmune Comorbidities Are Associated with Brain Injury in Multiple Sclerosis.","/pubmed/26892983","Zivadinov R, Raj B, Ramanathan M, Teter B, Durfee J, Dwyer MG, Bergsland N, Kolb C, Hojnacki D, Benedict RH, Weinstock-Guttman B.","AJNR Am J Neuroradiol. 2016 Jun;37(6):1010-6. doi: 10.3174/ajnr.A4681. Epub 2016 Feb 18.","AJNR Am J Neuroradiol.  2016","PubMed","citation","PMID:26892983","pubmed","26892983","create date:2016/02/20 | first author:Zivadinov R",
"Differentiation of Speech Delay and Global Developmental Delay in Children Using DTI Tractography-Based Connectome.","/pubmed/26797142","Jeong JW, Sundaram S, Behen ME, Chugani HT.","AJNR Am J Neuroradiol. 2016 Jun;37(6):1170-7. doi: 10.3174/ajnr.A4662. Epub 2016 Jan 21.","AJNR Am J Neuroradiol.  2016","PubMed","citation","PMID:26797142 | PMCID:PMC4907870","pubmed","26797142","create date:2016/01/23 | first author:Jeong JW",
"Motor and cortico-striatal-thalamic connectivity alterations in intrauterine growth restriction.","/pubmed/26719213","Eixarch E, Muñoz-Moreno E, Bargallo N, Batalle D, Gratacos E.","Am J Obstet Gynecol. 2016 Jun;214(6):725.e1-9. doi: 10.1016/j.ajog.2015.12.028. Epub 2015 Dec 21.","Am J Obstet Gynecol.  2016","PubMed","citation","PMID:26719213","pubmed","26719213","create date:2016/01/01 | first author:Eixarch E",
"Investigating the Microstructural Correlation of White Matter in Autism Spectrum Disorder.","/pubmed/27021440","Dean DC 3rd, Travers BG, Adluru N, Tromp do PM, Destiche DJ, Samsin D, Prigge MB, Zielinski BA, Fletcher PT, Anderson JS, Froehlich AL, Bigler ED, Lange N, Lainhart JE, Alexander AL.","Brain Connect. 2016 Jun;6(5):415-33. doi: 10.1089/brain.2015.0385. Epub 2016 May 5.","Brain Connect.  2016","PubMed","citation","PMID:27021440 | PMCID:PMC4913512","pubmed","27021440","create date:2016/03/30 | first author:Dean DC 3rd",
"Cognitive impairment and associated loss in brain white microstructure in aircrew members exposed to engine oil fumes.","/pubmed/26063438","Reneman L, Schagen SB, Mulder M, Mutsaerts HJ, Hageman G, de Ruiter MB.","Brain Imaging Behav. 2016 Jun;10(2):437-44. doi: 10.1007/s11682-015-9395-3.","Brain Imaging Behav.  2016","PubMed","citation","PMID:26063438 | PMCID:PMC4908163","pubmed","26063438","create date:2015/06/13 | first author:Reneman L",
"Cognitive activity, cognitive function, and brain diffusion characteristics in old age.","/pubmed/25982658","Arfanakis K, Wilson RS, Barth CM, Capuano AW, Vasireddi A, Zhang S, Fleischman DA, Bennett DA.","Brain Imaging Behav. 2016 Jun;10(2):455-63. doi: 10.1007/s11682-015-9405-5.","Brain Imaging Behav.  2016","PubMed","citation","PMID:25982658 | PMCID:PMC4646719","pubmed","25982658","create date:2015/05/20 | first author:Arfanakis K",
"Visual Contrast Sensitivity Improvement by Right Frontal High-Beta Activity Is Mediated by Contrast Gain Mechanisms and Influenced by Fronto-Parietal White Matter Microstructure.","/pubmed/25899709","Quentin R, Elkin Frankston S, Vernet M, Toba MN, Bartolomeo P, Chanes L, Valero-Cabré A.","Cereb Cortex. 2016 Jun;26(6):2381-90. doi: 10.1093/cercor/bhv060. Epub 2015 Apr 21.","Cereb Cortex.  2016","PubMed","citation","PMID:25899709 | PMCID:PMC4869800","pubmed","25899709","create date:2015/04/23 | first author:Quentin R",
"Pseudo progression identification of glioblastoma with dictionary learning.","/pubmed/27100835","Zhang J, Yu H, Qian X, Liu K, Tan H, Yang T, Wang M, Li KC, Chan MD, Debinski W, Paulsson A, Wang G, Zhou X.","Comput Biol Med. 2016 Jun 1;73:94-101. doi: 10.1016/j.compbiomed.2016.03.027. Epub 2016 Apr 1.","Comput Biol Med.  2016","PubMed","citation","PMID:27100835 | PMCID:PMC5094462","pubmed","27100835","create date:2016/04/22 | first author:Zhang J",
"Long-term outcome and neuroradiologic changes after multiple hippocampal transection combined with multiple subpial transection or lesionectomy for temporal lobe epilepsy.","/pubmed/27080062","Usami K, Kubota M, Kawai K, Kunii N, Matsuo T, Ibayashi K, Takahashi M, Kamada K, Momose T, Aoki S, Saito N.","Epilepsia. 2016 Jun;57(6):931-40. doi: 10.1111/epi.13374. Epub 2016 Apr 15.","Epilepsia.  2016","PubMed","citation","PMID:27080062","pubmed","27080062","create date:2016/04/16 | first author:Usami K",
"Non-ketotic hyperglycaemia presenting as epilepsia partialis continua.","/pubmed/27279640","Hwang KJ, Yoon S, Park KC.","Epileptic Disord. 2016 Jun 1;18(2):201-3. doi: 10.1684/epd.2016.0833.","Epileptic Disord.  2016","PubMed","citation","PMID:27279640","pubmed","27279640","create date:2016/06/10 | first author:Hwang KJ",
"Brain structural connectivity distinguishes patients at risk for cognitive decline after carotid interventions.","/pubmed/27028955","Soman S, Prasad G, Hitchner E, Massaband P, Moseley ME, Zhou W, Rosen AC.","Hum Brain Mapp. 2016 Jun;37(6):2185-94. doi: 10.1002/hbm.23166. Epub 2016 Mar 29.","Hum Brain Mapp.  2016","PubMed","citation","PMID:27028955 | PMCID:PMC4867285","pubmed","27028955","create date:2016/03/31 | first author:Soman S",
"Heritability and genetic correlation between the cerebral cortex and associated white matter connections.","/pubmed/27006297","Shen KK, Doré V, Rose S, Fripp J, McMahon KL, de Zubicaray GI, Martin NG, Thompson PM, Wright MJ, Salvado O.","Hum Brain Mapp. 2016 Jun;37(6):2331-47. doi: 10.1002/hbm.23177. Epub 2016 Mar 23.","Hum Brain Mapp.  2016","PubMed","citation","PMID:27006297 | PMCID:PMC4883001","pubmed","27006297","create date:2016/03/24 | first author:Shen KK",
"Structural connectivity of the human anterior temporal lobe: A diffusion magnetic resonance imaging study.","/pubmed/26945805","Papinutto N, Galantucci S, Mandelli ML, Gesierich B, Jovicich J, Caverzasi E, Henry RG, Seeley WW, Miller BL, Shapiro KA, Gorno-Tempini ML.","Hum Brain Mapp. 2016 Jun;37(6):2210-22. doi: 10.1002/hbm.23167. Epub 2016 Mar 4.","Hum Brain Mapp.  2016","PubMed","citation","PMID:26945805 | PMCID:PMC4922800","pubmed","26945805","create date:2016/03/08 | first author:Papinutto N",
"Infarct prediction by intraoperative laser speckle imaging in patients with malignant hemispheric stroke.","/pubmed/26661215","Hecht N, Müller MM, Sandow N, Pinczolits A, Vajkoczy P, Woitzik J.","J Cereb Blood Flow Metab. 2016 Jun;36(6):1022-32. doi: 10.1177/0271678X15612487. Epub 2015 Oct 23.","J Cereb Blood Flow Metab.  2016","PubMed","citation","PMID:26661215 | PMCID:PMC4908625","pubmed","26661215","create date:2015/12/15 | first author:Hecht N",
"Observation of direction-dependent mechanical properties in the human brain with multi-excitation MR elastography.","/pubmed/27032311","Anderson AT, Van Houten EEW, McGarry MDJ, Paulsen KD, Holtrop JL, Sutton BP, Georgiadis JG, Johnson CL.","J Mech Behav Biomed Mater. 2016 Jun;59:538-546. doi: 10.1016/j.jmbbm.2016.03.005. Epub 2016 Mar 18.","J Mech Behav Biomed Mater.  2016","PubMed","citation","PMID:27032311 | PMCID:PMC4860072","pubmed","27032311","create date:2016/04/02 | first author:Anderson AT",
"Increased functional connectivity common to symptomatic amyotrophic lateral sclerosis and those at genetic risk.","/pubmed/26733601","Menke RA, Proudfoot M, Wuu J, Andersen PM, Talbot K, Benatar M, Turner MR.","J Neurol Neurosurg Psychiatry. 2016 Jun;87(6):580-8. doi: 10.1136/jnnp-2015-311945. Epub 2016 Jan 5.","J Neurol Neurosurg Psychiatry.  2016","PubMed","citation","PMID:26733601 | PMCID:PMC4893149","pubmed","26733601","create date:2016/01/07 | first author:Menke RA",
"The influence of molecular order and microstructure on the R2* and the magnetic susceptibility tensor.","/pubmed/26692502","Wisnieff C, Liu T, Wang Y, Spincemaille P.","Magn Reson Imaging. 2016 Jun;34(5):682-9. doi: 10.1016/j.mri.2015.12.003. Epub 2015 Dec 10.","Magn Reson Imaging.  2016","PubMed","citation","PMID:26692502 | PMCID:PMC4860046","pubmed","26692502","create date:2015/12/23 | first author:Wisnieff C",
"Using the robust principal component analysis algorithm to remove RF spike artifacts from MR images.","/pubmed/26193125","Campbell-Washburn AE, Atkinson D, Nagy Z, Chan RW, Josephs O, Lythgoe MF, Ordidge RJ, Thomas DL.","Magn Reson Med. 2016 Jun;75(6):2517-25. doi: 10.1002/mrm.25851. Epub 2015 Jul 20.","Magn Reson Med.  2016","PubMed","citation","PMID:26193125 | PMCID:PMC4720596","pubmed","26193125","create date:2015/07/21 | first author:Campbell-Washburn AE",
"Morphometric model for discrimination between glioblastoma multiforme and solitary metastasis using three-dimensional shape analysis.","/pubmed/26173745","Yang G, Jones TL, Howe FA, Barrick TR.","Magn Reson Med. 2016 Jun;75(6):2505-16. doi: 10.1002/mrm.25845. Epub 2015 Jul 14.","Magn Reson Med.  2016","PubMed","citation","PMID:26173745","pubmed","26173745","create date:2015/07/16 | first author:Yang G",
"Recovery of consciousness and an injured ascending reticular activating system in a patient who survived cardiac arrest: A case report.","/pubmed/27368033","Jang SH, Hyun YJ, Lee HD.","Medicine (Baltimore). 2016 Jun;95(26):e4041. doi: 10.1097/MD.0000000000004041.","Medicine (Baltimore).  2016","PubMed","citation","PMID:27368033 | PMCID:PMC4937947","pubmed","27368033","create date:2016/07/02 | first author:Jang SH",
"Relation between injury of the periaqueductal gray and central pain in patients with mild traumatic brain injury: Observational study.","/pubmed/27368020","Jang SH, Park SM, Kwon HG.","Medicine (Baltimore). 2016 Jun;95(26):e4017. doi: 10.1097/MD.0000000000004017.","Medicine (Baltimore).  2016","PubMed","citation","PMID:27368020 | PMCID:PMC4937934","pubmed","27368020","create date:2016/07/02 | first author:Jang SH",
"Alterations in white matter volume and integrity in obesity and type 2 diabetes.","/pubmed/26815786","van Bloemendaal L, Ijzerman RG, Ten Kulve JS, Barkhof F, Diamant M, Veltman DJ, van Duinkerken E.","Metab Brain Dis. 2016 Jun;31(3):621-9. doi: 10.1007/s11011-016-9792-3. Epub 2016 Jan 27.","Metab Brain Dis.  2016","PubMed","citation","PMID:26815786 | PMCID:PMC4863900","pubmed","26815786","create date:2016/01/28 | first author:van Bloemendaal L",
"Longitudinal Diffusion Tensor Imaging Detects Recovery of Fractional Anisotropy Within Traumatic Axonal Injury Lesions.","/pubmed/26690938","Edlow BL, Copen WA, Izzy S, van der Kouwe A, Glenn MB, Greenberg SM, Greer DM, Wu O.","Neurocrit Care. 2016 Jun;24(3):342-52. doi: 10.1007/s12028-015-0216-8.","Neurocrit Care.  2016","PubMed","citation","PMID:26690938 | PMCID:PMC4884487","pubmed","26690938","create date:2015/12/23 | first author:Edlow BL",
"Bingham-NODDI: Mapping anisotropic orientation dispersion of neurites using diffusion MRI.","/pubmed/26826512","Tariq M, Schneider T, Alexander DC, Gandini Wheeler-Kingshott CA, Zhang H.","Neuroimage. 2016 Jun;133:207-223. doi: 10.1016/j.neuroimage.2016.01.046. Epub 2016 Jan 28.","Neuroimage.  2016","PubMed","citation","PMID:26826512","pubmed","26826512","create date:2016/01/31 | first author:Tariq M",
"MR Imaging Applications in Mild Traumatic Brain Injury: An Imaging Update.","/pubmed/27183405","Wu X, Kirov II, Gonen O, Ge Y, Grossman RI, Lui YW.","Radiology. 2016 Jun;279(3):693-707. doi: 10.1148/radiol.16142535.","Radiology.  2016","PubMed","citation","PMID:27183405 | PMCID:PMC4886705","pubmed","27183405","create date:2016/05/18 | first author:Wu X",
"Brain connectivity reflects human aesthetic responses to music.","/pubmed/26966157","Sachs ME, Ellis RJ, Schlaug G, Loui P.","Soc Cogn Affect Neurosci. 2016 Jun;11(6):884-91. doi: 10.1093/scan/nsw009. Epub 2016 Mar 10.","Soc Cogn Affect Neurosci.  2016","PubMed","citation","PMID:26966157 | PMCID:PMC4884308","pubmed","26966157","create date:2016/03/12 | first author:Sachs ME",
"Right inferior longitudinal fasciculus lesions disrupt visual-emotional integration.","/pubmed/26940563","Fischer DB, Perez DL, Prasad S, Rigolo L, O'Donnell L, Acar D, Meadows ME, Baslet G, Boes AD, Golby AJ, Dworetzky BA.","Soc Cogn Affect Neurosci. 2016 Jun;11(6):945-51. doi: 10.1093/scan/nsw011. Epub 2016 Mar 3.","Soc Cogn Affect Neurosci.  2016","PubMed","citation","PMID:26940563 | PMCID:PMC4884310","pubmed","26940563","create date:2016/03/05 | first author:Fischer DB",
"Diffusion tensor imaging with direct cytopathological validation: characterisation of decorin treatment in experimental juvenile communicating hydrocephalus.","/pubmed/27246837","Aojula A, Botfield H, McAllister JP 2nd, Gonzalez AM, Abdullah O, Logan A, Sinclair A.","Fluids Barriers CNS. 2016 May 31;13(1):9. doi: 10.1186/s12987-016-0033-2.","Fluids Barriers CNS.  2016","PubMed","citation","PMID:27246837 | PMCID:PMC4888658","pubmed","27246837","create date:2016/06/02 | first author:Aojula A",
"Accuracy of MR markers for differentiating Progressive Supranuclear Palsy from Parkinson's disease.","/pubmed/27330973","Zanigni S, Calandra-Buonaura G, Manners DN, Testa C, Gibertoni D, Evangelisti S, Sambati L, Guarino M, De Massis P, Gramegna LL, Bianchini C, Rucci P, Cortelli P, Lodi R, Tonon C.","Neuroimage Clin. 2016 May 30;11:736-742. doi: 10.1016/j.nicl.2016.05.016. eCollection 2016.","Neuroimage Clin.  2016","PubMed","citation","PMID:27330973 | PMCID:PMC4908307","pubmed","27330973","create date:2016/06/23 | first author:Zanigni S",
"Brain Microstructural Abnormalities Are Related to Physiological Alterations in End-Stage Renal Disease.","/pubmed/27227649","Bai Z, Ma X, Tian J, Dong J, He J, Zhan W, Xu L, Xu Y, Jiang G.","PLoS One. 2016 May 26;11(5):e0155902. doi: 10.1371/journal.pone.0155902. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27227649 | PMCID:PMC4881995","pubmed","27227649","create date:2016/05/27 | first author:Bai Z",
"Impaired Gut-Liver-Brain Axis in Patients with Cirrhosis.","/pubmed/27225869","Ahluwalia V, Betrapally NS, Hylemon PB, White MB, Gillevet PM, Unser AB, Fagan A, Daita K, Heuman DM, Zhou H, Sikaroodi M, Bajaj JS.","Sci Rep. 2016 May 26;6:26800. doi: 10.1038/srep26800.","Sci Rep.  2016","PubMed","citation","PMID:27225869 | PMCID:PMC4880966","pubmed","27225869","create date:2016/05/27 | first author:Ahluwalia V",
"A Sensitive and Automatic White Matter Fiber Tracts Model for Longitudinal Analysis of Diffusion Tensor Images in Multiple Sclerosis.","/pubmed/27224308","Stamile C, Kocevar G, Cotton F, Durand-Dubief F, Hannoun S, Frindel C, Guttmann CR, Rousseau D, Sappey-Marinier D.","PLoS One. 2016 May 25;11(5):e0156405. doi: 10.1371/journal.pone.0156405. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27224308 | PMCID:PMC4880200","pubmed","27224308","create date:2016/05/26 | first author:Stamile C",
"Abnormal topological organization of the white matter network in Mandarin speakers with congenital amusia.","/pubmed/27211239","Zhao Y, Chen X, Zhong S, Cui Z, Gong G, Dong Q, Nan Y.","Sci Rep. 2016 May 23;6:26505. doi: 10.1038/srep26505. Erratum in: Sci Rep. 2016 Jul 22;6:30102. ","Sci Rep.  2016","PubMed","citation","PMID:27211239 | PMCID:PMC4876438","pubmed","27211239","create date:2016/05/24 | first author:Zhao Y",
"Functional assessment of glioma pathogenesis by in vivo multi-parametric magnetic resonance imaging and in vitro analyses.","/pubmed/27198662","Yao NW, Chang C, Lin HT, Yen CT, Chen JY.","Sci Rep. 2016 May 20;6:26050. doi: 10.1038/srep26050.","Sci Rep.  2016","PubMed","citation","PMID:27198662 | PMCID:PMC4873752","pubmed","27198662","create date:2016/05/21 | first author:Yao NW",
"Whole-brain analytic measures of network communication reveal increased structure-function correlation in right temporal lobe epilepsy.","/pubmed/27330970","Wirsich J, Perry A, Ridley B, Proix T, Golos M, Bénar C, Ranjeva JP, Bartolomei F, Breakspear M, Jirsa V, Guye M.","Neuroimage Clin. 2016 May 19;11:707-718. doi: 10.1016/j.nicl.2016.05.010. eCollection 2016.","Neuroimage Clin.  2016","PubMed","citation","PMID:27330970 | PMCID:PMC4909094","pubmed","27330970","create date:2016/06/23 | first author:Wirsich J",
"Perfusion Pressure Cerebral Infarct (PPCI) trial - the importance of mean arterial pressure during cardiopulmonary bypass to prevent cerebral complications after cardiac surgery: study protocol for a randomised controlled trial.","/pubmed/27189028","Vedel AG, Holmgaard F, Rasmussen LS, Paulson OB, Thomsen C, Danielsen ER, Langkilde A, Goetze JP, Lange T, Ravn HB, Nilsson JC.","Trials. 2016 May 17;17(1):247. doi: 10.1186/s13063-016-1373-6. Erratum in: Trials. 2017 Jan 12;18(1):15. ","Trials.  2016","PubMed","citation","PMID:27189028 | PMCID:PMC4869311","pubmed","27189028","create date:2016/05/18 | first author:Vedel AG",
"DR-TAMAS: Diffeomorphic Registration for Tensor Accurate Alignment of Anatomical Structures.","/pubmed/26931817","Irfanoglu MO, Nayak A, Jenkins J, Hutchinson EB, Sadeghi N, Thomas CP, Pierpaoli C.","Neuroimage. 2016 May 15;132:439-454. doi: 10.1016/j.neuroimage.2016.02.066. Epub 2016 Feb 28.","Neuroimage.  2016","PubMed","citation","PMID:26931817 | PMCID:PMC4851878","pubmed","26931817","create date:2016/03/05 | first author:Irfanoglu MO",
