Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
"Altered structural brain changes and neurocognitive performance in pediatric HIV.",/pubmed/28224079,"Yadav SK, Gupta RK, Garg RK, Venkatesh V, Gupta PK, Singh AK, Hashem S, Al-Sulaiti A, Kaura D, Wang E, Marincola FM, Haris M.",Neuroimage Clin. 2017 Feb 2;14:316-322. doi: 10.1016/j.nicl.2017.01.032. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28224079 | PMCID:PMC5304232,pubmed,28224079,create date:2017/02/23 | first author:Yadav SK,
"Reduced White Matter Integrity in Antisocial Personality Disorder: A Diffusion Tensor Imaging Study.",/pubmed/28223713,"Jiang W, Shi F, Liu H, Li G, Ding Z, Shen H, Shen C, Lee SW, Hu D, Wang W, Shen D.",Sci Rep. 2017 Feb 22;7:43002. doi: 10.1038/srep43002.,Sci Rep.  2017,PubMed,citation,PMID:28223713 | PMCID:PMC5320449,pubmed,28223713,create date:2017/02/23 | first author:Jiang W,
"White matter alterations to cingulum and fornix following very preterm birth and their relationship with cognitive functions.",/pubmed/28216430,"Caldinelli C, Froudist-Walsh S, Karolis V, Tseng CE, Allin MP, Walshe M, Cuddy M, Murray RM, Nosarti C.",Neuroimage. 2017 Apr 15;150:373-382. doi: 10.1016/j.neuroimage.2017.02.026. Epub 2017 Feb 12.,Neuroimage.  2017,PubMed,citation,PMID:28216430 | PMCID:PMC5405171,pubmed,28216430,create date:2017/02/22 | first author:Caldinelli C,
"Intrathecal enzyme replacement therapy reverses cognitive decline in mucopolysaccharidosis type I.",/pubmed/28211988,"Nestrasil I, Shapiro E, Svatkova A, Dickson P, Chen A, Wakumoto A, Ahmed A, Stehel E, McNeil S, Gravance C, Maher E.",Am J Med Genet A. 2017 Mar;173(3):780-783. doi: 10.1002/ajmg.a.38073.,Am J Med Genet A.  2017,PubMed,citation,PMID:28211988 | PMCID:PMC5367919,pubmed,28211988,create date:2017/02/18 | first author:Nestrasil I,
"Multi-View Ensemble Classification of Brain Connectivity Images for Neurodegeneration Type Discrimination.",/pubmed/28210983,"Fratello M, Caiazzo G, Trojsi F, Russo A, Tedeschi G, Tagliaferri R, Esposito F.",Neuroinformatics. 2017 Apr;15(2):199-213. doi: 10.1007/s12021-017-9324-2.,Neuroinformatics.  2017,PubMed,citation,PMID:28210983 | PMCID:PMC5443864,pubmed,28210983,create date:2017/02/18 | first author:Fratello M,
"Dynamic association between perfusion and white matter integrity across time since injury in Veterans with history of TBI.",/pubmed/28210542,"Clark AL, Bangen KJ, Sorg SF, Schiehser DM, Evangelista ND, McKenna B, Liu TT, Delano-Wood L.",Neuroimage Clin. 2016 Dec 23;14:308-315. doi: 10.1016/j.nicl.2016.12.017. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28210542 | PMCID:PMC5299206,pubmed,28210542,create date:2017/02/18 | first author:Clark AL,
"The social brain network in 22q11.2 deletion syndrome: a diffusion tensor imaging study.",/pubmed/28209179,"Olszewski AK, Kikinis Z, Gonzalez CS, Coman IL, Makris N, Gong X, Rathi Y, Zhu A, Antshel KM, Fremont W, Kubicki MR, Bouix S, Shenton ME, Kates WR.",Behav Brain Funct. 2017 Feb 16;13(1):4. doi: 10.1186/s12993-017-0122-7.,Behav Brain Funct.  2017,PubMed,citation,PMID:28209179 | PMCID:PMC5314621,pubmed,28209179,create date:2017/02/18 | first author:Olszewski AK,
"Restoration of the ascending reticular activating system compressed by hematoma in a stroke patient.",/pubmed/28207526,"Jang SH, Seo JP.",Medicine (Baltimore). 2017 Feb;96(7):e6103. doi: 10.1097/MD.0000000000006103.,Medicine (Baltimore).  2017,PubMed,citation,PMID:28207526 | PMCID:PMC5319515,pubmed,28207526,create date:2017/02/17 | first author:Jang SH,
"Spontaneous Recovery of Upper Extremity Motor Impairment After Ischemic Stroke: Implications for Stem Cell-Based Therapeutic Approaches.",/pubmed/28205065,"Delavaran H, Aked J, Sjunnesson H, Lindvall O, Norrving B, Kokaia Z, Lindgren A.",Transl Stroke Res. 2017 Aug;8(4):351-361. doi: 10.1007/s12975-017-0523-9. Epub 2017 Feb 15.,Transl Stroke Res.  2017,PubMed,citation,PMID:28205065 | PMCID:PMC5493719,pubmed,28205065,create date:2017/02/17 | first author:Delavaran H,
"Brain fingerprints of olfaction: a novel structural method for assessing olfactory cortical networks in health and disease.",/pubmed/28195241,"Fjaeldstad A, Fernandes HM, Van Hartevelt TJ, Gleesborg C, Møller A, Ovesen T, Kringelbach ML.",Sci Rep. 2017 Feb 14;7:42534. doi: 10.1038/srep42534.,Sci Rep.  2017,PubMed,citation,PMID:28195241 | PMCID:PMC5307346,pubmed,28195241,create date:2017/02/15 | first author:Fjaeldstad A,
"Alterations in Cortical Thickness and White Matter Integrity in Mild-to-Moderate Communicating Hydrocephalic School-Aged Children Measured by Whole-Brain Cortical Thickness Mapping and DTI.",/pubmed/28191353,"Zhang S, Ye X, Bai G, Fu Y, Mao C, Wu A, Liu X, Yan Z.",Neural Plast. 2017;2017:5167973. doi: 10.1155/2017/5167973. Epub 2017 Jan 16.,Neural Plast.  2017,PubMed,citation,PMID:28191353 | PMCID:PMC5278220,pubmed,28191353,create date:2017/02/14 | first author:Zhang S,
"Lateralized occipital degeneration in posterior cortical atrophy predicts visual field deficits.",/pubmed/28180083,"Millington RS, James-Galton M, Maia Da Silva MN, Plant GT, Bridge H.",Neuroimage Clin. 2017 Jan 17;14:242-249. doi: 10.1016/j.nicl.2017.01.012. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28180083 | PMCID:PMC5288489,pubmed,28180083,create date:2017/02/10 | first author:Millington RS,
"Simultaneous investigation of microvasculature and parenchyma in cerebral small vessel disease using intravoxel incoherent motion imaging.",/pubmed/28180080,"Wong SM, Zhang CE, van Bussel FC, Staals J, Jeukens CR, Hofman PA, van Oostenbrugge RJ, Backes WH, Jansen JF.",Neuroimage Clin. 2017 Jan 17;14:216-221. doi: 10.1016/j.nicl.2017.01.017. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28180080 | PMCID:PMC5288390,pubmed,28180080,create date:2017/02/10 | first author:Wong SM,
"Reduced fractional anisotropy in patients with major depressive disorder and associations with vascular stiffness.",/pubmed/28180073,"Hermesdorf M, Berger K, Szentkirályi A, Schwindt W, Dannlowski U, Wersching H.",Neuroimage Clin. 2017 Jan 16;14:151-155. doi: 10.1016/j.nicl.2017.01.013. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28180073 | PMCID:PMC5279701,pubmed,28180073,create date:2017/02/10 | first author:Hermesdorf M,
"Utility of Duranta, a wireless patch-type electrocardiographic monitoring system developed in Japan, in detecting covert atrial fibrillation in patients with cryptogenic stroke: A case report.",/pubmed/28178140,"Akiyama H, Nukui S, Araga T, Hoshino M, Tanaka K, Kashima S, Sasaki R, Uchino K, Hasegawa Y.",Medicine (Baltimore). 2017 Feb;96(6):e5995. doi: 10.1097/MD.0000000000005995.,Medicine (Baltimore).  2017,PubMed,citation,PMID:28178140 | PMCID:PMC5312997,pubmed,28178140,create date:2017/02/09 | first author:Akiyama H,
"Structural white matter and functional connectivity alterations in patients with shoulder apprehension.",/pubmed/28176877,"Zanchi D, Cunningham G, Lädermann A, Ozturk M, Hoffmeyer P, Haller S.",Sci Rep. 2017 Feb 8;7:42327. doi: 10.1038/srep42327.,Sci Rep.  2017,PubMed,citation,PMID:28176877 | PMCID:PMC5296739,pubmed,28176877,create date:2017/02/09 | first author:Zanchi D,
"Global and Local Connectivity Differences Converge With Gene Expression in a Neurodevelopmental Disorder of Known Genetic Origin.",/pubmed/28168288,"Bathelt J, Barnes J, Raymond FL, Baker K, Astle D.",Cereb Cortex. 2017 Jul 1;27(7):3806-3817. doi: 10.1093/cercor/bhx027.,Cereb Cortex.  2017,PubMed,citation,PMID:28168288 | PMCID:PMC6600876,pubmed,28168288,create date:2017/02/09 | first author:Bathelt J,
"Structural and Functional Cortical Connectivity Mediating Cross Education of Motor Function.",/pubmed/28154150,"Ruddy KL, Leemans A, Woolley DG, Wenderoth N, Carson RG.",J Neurosci. 2017 Mar 8;37(10):2555-2564. doi: 10.1523/JNEUROSCI.2536-16.2017. Epub 2017 Feb 2.,J Neurosci.  2017,PubMed,citation,PMID:28154150 | PMCID:PMC5354316,pubmed,28154150,create date:2017/02/06 | first author:Ruddy KL,
"Early development of structural networks and the impact of prematurity on brain connectivity.",/pubmed/28153637,"Batalle D, Hughes EJ, Zhang H, Tournier JD, Tusor N, Aljabar P, Wali L, Alexander DC, Hajnal JV, Nosarti C, Edwards AD, Counsell SJ.",Neuroimage. 2017 Apr 1;149:379-392. doi: 10.1016/j.neuroimage.2017.01.065. Epub 2017 Jan 30.,Neuroimage.  2017,PubMed,citation,PMID:28153637 | PMCID:PMC5387181,pubmed,28153637,create date:2017/02/06 | first author:Batalle D,
"Evolution of structural neuroimaging biomarkers in a series of adult patients with Niemann-Pick type C under treatment.",/pubmed/28148276,"Masingue M, Adanyeguh I, Nadjar Y, Sedel F, Galanaud D, Mochel F.",Orphanet J Rare Dis. 2017 Feb 2;12(1):22. doi: 10.1186/s13023-017-0579-3.,Orphanet J Rare Dis.  2017,PubMed,citation,PMID:28148276 | PMCID:PMC5289046,pubmed,28148276,create date:2017/02/06 | first author:Masingue M,
"Multivariate characterization of white matter heterogeneity in autism spectrum disorder.",/pubmed/28138427,"Dean DC 3rd, Lange N, Travers BG, Prigge MB, Matsunami N, Kellett KA, Freeman A, Kane KL, Adluru N, Tromp DP, Destiche DJ, Samsin D, Zielinski BA, Fletcher PT, Anderson JS, Froehlich AL, Leppert MF, Bigler ED, Lainhart JE, Alexander AL.",Neuroimage Clin. 2017 Jan 6;14:54-66. doi: 10.1016/j.nicl.2017.01.002. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28138427 | PMCID:PMC5257193,pubmed,28138427,create date:2017/02/01 | first author:Dean DC 3rd,
"A change in brain white matter after shunt surgery in idiopathic normal pressure hydrocephalus: a tract-based spatial statistics study.",/pubmed/28132644,"Kanno S, Saito M, Kashinoura T, Nishio Y, Iizuka O, Kikuchi H, Takagi M, Iwasaki M, Takahashi S, Mori E.",Fluids Barriers CNS. 2017 Jan 30;14(1):1. doi: 10.1186/s12987-016-0048-8.,Fluids Barriers CNS.  2017,PubMed,citation,PMID:28132644 | PMCID:PMC5278569,pubmed,28132644,create date:2017/01/31 | first author:Kanno S,
"Topographic separation of fornical fibers associated with the anterior and posterior hippocampus in the human brain: An MRI-diffusion study.",/pubmed/28127522,"Christiansen K, Metzler-Baddeley C, Parker GD, Muhlert N, Jones DK, Aggleton JP, Vann SD.",Brain Behav. 2016 Nov 22;7(1):e00604. doi: 10.1002/brb3.604. eCollection 2017 Jan.,Brain Behav.  2017,PubMed,citation,PMID:28127522 | PMCID:PMC5256187,pubmed,28127522,create date:2017/01/28 | first author:Christiansen K,
"Interhemispheric characterization of small vessel disease imaging markers after subcortical infarct.",/pubmed/28127514,"Valdés Hernández MD, Qiu X, Wang X, Wiseman S, Sakka E, Maconick LC, Doubal F, Sudlow CL, Wardlaw JM.",Brain Behav. 2016 Nov 3;7(1):e00595. doi: 10.1002/brb3.595. eCollection 2017 Jan.,Brain Behav.  2017,PubMed,citation,PMID:28127514 | PMCID:PMC5256179,pubmed,28127514,create date:2017/01/28 | first author:Valdés Hernández MD,
"Fiber up-sampling and quality assessment of tractograms - towards quantitative brain connectivity.",/pubmed/28127510,"Sommer S, Kozerke S, Seifritz E, Staempfli P.",Brain Behav. 2016 Oct 26;7(1):e00588. doi: 10.1002/brb3.588. eCollection 2017 Jan.,Brain Behav.  2017,PubMed,citation,PMID:28127510 | PMCID:PMC5256175,pubmed,28127510,create date:2017/01/28 | first author:Sommer S,
"The Role of White Matter Damage in the Risk of Periprocedural Diffusion-Weighted Lesions after Carotid Artery Stenting.",/pubmed/28125807,"Maggio P, Altamura C, Lupoi D, Paolucci M, Altavilla R, Tibuzzi F, Passarelli F, Arpesani R, Di Giambattista G, Grasso RF, Luppi G, Fiacco F, Silvestrini M, Pasqualetti P, Vernieri F.",Cerebrovasc Dis Extra. 2017;7(1):1-8. doi: 10.1159/000452717. Epub 2017 Jan 27.,Cerebrovasc Dis Extra.  2017,PubMed,citation,PMID:28125807 | PMCID:PMC5340215,pubmed,28125807,create date:2017/01/27 | first author:Maggio P,
"Aggravation of excessive daytime sleepiness concurrent with aggravation of an injured ascending reticular activating system in a patient with mild traumatic brain injury: A case report.",/pubmed/28121943,"Jang SH, Kwon HG.",Medicine (Baltimore). 2017 Jan;96(4):e5958. doi: 10.1097/MD.0000000000005958.,Medicine (Baltimore).  2017,PubMed,citation,PMID:28121943 | PMCID:PMC5287967,pubmed,28121943,create date:2017/01/26 | first author:Jang SH,
"Changes in functional organization and white matter integrity in the connectome in Parkinson's disease.",/pubmed/28116232,"Tinaz S, Lauro PM, Ghosh P, Lungu C, Horovitz SG.",Neuroimage Clin. 2016 Dec 19;13:395-404. doi: 10.1016/j.nicl.2016.12.019. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28116232 | PMCID:PMC5226806,pubmed,28116232,create date:2017/01/25 | first author:Tinaz S,
"Altered Microstructural Caudate Integrity in Posttraumatic Stress Disorder but Not Traumatic Brain Injury.",/pubmed/28114393,"Waltzman D, Soman S, Hantke NC, Fairchild JK, Kinoshita LM, Wintermark M, Ashford JW, Yesavage J, Williams L, Adamson MM, Furst AJ.",PLoS One. 2017 Jan 23;12(1):e0170564. doi: 10.1371/journal.pone.0170564. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28114393 | PMCID:PMC5256941,pubmed,28114393,create date:2017/01/24 | first author:Waltzman D,
"Individuality manifests in the dynamic reconfiguration of large-scale brain networks during movie viewing.",/pubmed/28112247,"Jang C, Knight EQ, Pae C, Park B, Yoon SA, Park HJ.",Sci Rep. 2017 Jan 23;7:41414. doi: 10.1038/srep41414.,Sci Rep.  2017,PubMed,citation,PMID:28112247 | PMCID:PMC5256084,pubmed,28112247,create date:2017/01/24 | first author:Jang C,
"Case Report of False-Negative Diffusion-Weighted Image of Brain Maggnetic Resonance Imaging (MRI) in Acute Ischemic Stroke.",/pubmed/28111452,"Chang WL, Lai JC, Chen RF, Hu HH, Pan CS.",Am J Case Rep. 2017 Jan 23;18:76-79.,Am J Case Rep.  2017,PubMed,citation,PMID:28111452 | PMCID:PMC5270759,pubmed,28111452,create date:2017/01/24 | first author:Chang WL,
"Neuroregenerative potential of intravenous G-CSF and autologous peripheral blood stem cells in children with cerebral palsy: a randomized, double-blind, cross-over study.",/pubmed/28109298,"Rah WJ, Lee YH, Moon JH, Jun HJ, Kang HR, Koh H, Eom HJ, Lee JY, Lee YJ, Kim JY, Choi YY, Park K, Kim MJ, Kim SH.",J Transl Med. 2017 Jan 21;15(1):16. doi: 10.1186/s12967-017-1120-0.,J Transl Med.  2017,PubMed,citation,PMID:28109298 | PMCID:PMC5251252,pubmed,28109298,create date:2017/01/23 | first author:Rah WJ,
"Fine Motor Skill Mediates Visual Memory Ability with Microstructural Neuro-correlates in Cerebellar Peduncles in Prematurely Born Adolescents.",/pubmed/28108493,"Thomas AR, Lacadie C, Vohr B, Ment LR, Scheinost D.",Cereb Cortex. 2017 Jan 1;27(1):322-329. doi: 10.1093/cercor/bhw415.,Cereb Cortex.  2017,PubMed,citation,PMID:28108493 | PMCID:PMC5939198,pubmed,28108493,create date:2017/01/22 | first author:Thomas AR,
"Binge drinking differentially affects cortical and subcortical microstructure.",/pubmed/28105707,"Morris LS, Dowell NG, Cercignani M, Harrison NA, Voon V.",Addict Biol. 2018 Jan;23(1):403-411. doi: 10.1111/adb.12493. Epub 2017 Jan 20.,Addict Biol.  2018,PubMed,citation,PMID:28105707 | PMCID:PMC5811821,pubmed,28105707,create date:2017/01/21 | first author:Morris LS,
"Genetic effect of interleukin-1 beta (C-511T) polymorphism on the structural covariance network and white matter integrity in Alzheimer's disease.",/pubmed/28100246,"Huang CW, Hsu SW, Tsai SJ, Chen NC, Liu ME, Lee CC, Huang SH, Chang WN, Chang YT, Tsai WC, Chang CC.",J Neuroinflammation. 2017 Jan 18;14(1):12. doi: 10.1186/s12974-017-0791-z.,J Neuroinflammation.  2017,PubMed,citation,PMID:28100246 | PMCID:PMC5242022,pubmed,28100246,create date:2017/01/20 | first author:Huang CW,
"Relevance of neuroimaging for neurocognitive and behavioral outcome after pediatric traumatic brain injury.",/pubmed/28092022,"Königs M, Pouwels PJ, Ernest van Heurn LW, Bakx R, Jeroen Vermeulen R, Goslings JC, Carel Goslings J, Poll-The BT, van der Wees M, Catsman-Berrevoets CE, Oosterlaan J.",Brain Imaging Behav. 2018 Feb;12(1):29-43. doi: 10.1007/s11682-017-9673-3. Erratum in: Brain Imaging Behav. 2019 Aug;13(4):1183. Carel Goslings J [corrected to Goslings JC]. ,Brain Imaging Behav.  2018,PubMed,citation,PMID:28092022 | PMCID:PMC5814510,pubmed,28092022,create date:2017/01/17 | first author:Königs M,
"Evaluations of diffusion tensor image registration based on fiber tractography.",/pubmed/28086899,"Wang Y, Shen Y, Liu D, Li G, Guo Z, Fan Y, Niu Y.",Biomed Eng Online. 2017 Jan 10;16(1):9. doi: 10.1186/s12938-016-0299-2.,Biomed Eng Online.  2017,PubMed,citation,PMID:28086899 | PMCID:PMC5234117,pubmed,28086899,create date:2017/01/15 | first author:Wang Y,
"Multimodality MRI assessment of grey and white matter injury and blood-brain barrier disruption after intracerebral haemorrhage in mice.",/pubmed/28084426,"Yang J, Li Q, Wang Z, Qi C, Han X, Lan X, Wan J, Wang W, Zhao X, Hou Z, Gao C, Carhuapoma JR, Mori S, Zhang J, Wang J.",Sci Rep. 2017 Jan 13;7:40358. doi: 10.1038/srep40358.,Sci Rep.  2017,PubMed,citation,PMID:28084426 | PMCID:PMC5234017,pubmed,28084426,create date:2017/01/14 | first author:Yang J,
"Hypersomnia due to injury of the ventral ascending reticular activating system following cerebellar herniation: A case report.",/pubmed/28072702,"Jang SH, Chang CH, Jung YJ, Kwon HG.",Medicine (Baltimore). 2017 Jan;96(1):e5678. doi: 10.1097/MD.0000000000005678.,Medicine (Baltimore).  2017,PubMed,citation,PMID:28072702 | PMCID:PMC5228662,pubmed,28072702,create date:2017/01/11 | first author:Jang SH,
"Deep learning predictions of survival based on MRI in amyotrophic lateral sclerosis.",/pubmed/28070484,"van der Burgh HK, Schmidt R, Westeneng HJ, de Reus MA, van den Berg LH, van den Heuvel MP.",Neuroimage Clin. 2016 Oct 11;13:361-369. doi: 10.1016/j.nicl.2016.10.008. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28070484 | PMCID:PMC5219634,pubmed,28070484,create date:2017/01/11 | first author:van der Burgh HK,
"Alterations of white matter structural networks in patients with non-neuropsychiatric systemic lupus erythematosus identified by probabilistic tractography and connectivity-based analyses.",/pubmed/28066709,"Xu M, Tan X, Zhang X, Guo Y, Mei Y, Feng Q, Xu Y, Feng Y.",Neuroimage Clin. 2016 Dec 20;13:349-360. doi: 10.1016/j.nicl.2016.12.021. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28066709 | PMCID:PMC5200918,pubmed,28066709,create date:2017/01/10 | first author:Xu M,
"Longitudinal changes in microstructural white matter metrics in Alzheimer's disease.",/pubmed/28066707,"Mayo CD, Mazerolle EL, Ritchie L, Fisk JD, Gawryluk JR; Alzheimer's Disease Neuroimaging Initiative..",Neuroimage Clin. 2016 Dec 16;13:330-338. doi: 10.1016/j.nicl.2016.12.012. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28066707 | PMCID:PMC5200876,pubmed,28066707,create date:2017/01/10 | first author:Mayo CD,
"Subacute Subclinical Brain Infarctions after Transcatheter Aortic Valve Implantation Negatively Impact Cognitive Function in Long-Term Follow-Up.",/pubmed/28056466,"Ghanem A, Dörner J, Schulze-Hagen L, Müller A, Wilsing M, Sinning JM, Lütkens J, Frerker C, Kuck KH, Gräff I, Schild H, Werner N, Grube E, Nickenig G.",PLoS One. 2017 Jan 5;12(1):e0168852. doi: 10.1371/journal.pone.0168852. eCollection 2017. Erratum in: PLoS One. 2017 Feb 9;12 (2):e0172186. ,PLoS One.  2017,PubMed,citation,PMID:28056466 | PMCID:PMC5215955,pubmed,28056466,create date:2017/01/06 | first author:Ghanem A,
"Functional MRI vs. navigated TMS to optimize M1 seed volume delineation for DTI tractography. A prospective study in patients with brain tumours adjacent to the corticospinal tract.",/pubmed/28050345,"Weiss Lucas C, Tursunova I, Neuschmelting V, Nettekoven C, Oros-Peusquens AM, Stoffels G, Faymonville AM, Jon SN, Langen KJ, Lockau H, Goldbrunner R, Grefkes C.",Neuroimage Clin. 2016 Nov 23;13:297-309. doi: 10.1016/j.nicl.2016.11.022. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28050345 | PMCID:PMC5192048,pubmed,28050345,create date:2017/01/05 | first author:Weiss Lucas C,
"Structural networks involved in attention and executive functions in multiple sclerosis.",/pubmed/28050344,"Llufriu S, Martinez-Heras E, Solana E, Sola-Valls N, Sepulveda M, Blanco Y, Martinez-Lapiscina EH, Andorra M, Villoslada P, Prats-Galino A, Saiz A.",Neuroimage Clin. 2016 Dec 5;13:288-296. doi: 10.1016/j.nicl.2016.11.026. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:28050344 | PMCID:PMC5192049,pubmed,28050344,create date:2017/01/05 | first author:Llufriu S,
"Longitudinal imaging in C9orf72 mutation carriers: Relationship to phenotype.",/pubmed/27995069,"Floeter MK, Bageac D, Danielian LE, Braun LE, Traynor BJ, Kwan JY.",Neuroimage Clin. 2016 Oct 22;12:1035-1043. eCollection 2016.,Neuroimage Clin.  2016,PubMed,citation,PMID:27995069 | PMCID:PMC5153604,pubmed,27995069,create date:2016/12/21 | first author:Floeter MK,
"Brain imaging correlates of recovered swallowing after dysphagic stroke: A fMRI and DWI study.",/pubmed/27995067,"Mihai PG, Otto M, Domin M, Platz T, Hamdy S, Lotze M.",Neuroimage Clin. 2016 May 10;12:1013-1021. eCollection 2016.,Neuroimage Clin.  2016,PubMed,citation,PMID:27995067 | PMCID:PMC5153603,pubmed,27995067,create date:2016/12/21 | first author:Mihai PG,
"Combined (18)F-FDG-PET and diffusion tensor imaging in mesial temporal lobe epilepsy with hippocampal sclerosis.",/pubmed/27995064,"Aparicio J, Carreño M, Bargalló N, Setoain X, Rubí S, Rumià J, Falcón C, Calvo A, Martí-Fuster B, Padilla N, Boget T, Pintor L, Donaire A.",Neuroimage Clin. 2016 May 6;12:976-989. eCollection 2016.,Neuroimage Clin.  2016,PubMed,citation,PMID:27995064 | PMCID:PMC5153605,pubmed,27995064,create date:2016/12/21 | first author:Aparicio J,
"Structural dysconnectivity of key cognitive and emotional hubs in young people at high genetic risk for bipolar disorder.",/pubmed/27994220,"Roberts G, Perry A, Lord A, Frankland A, Leung V, Holmes-Preston E, Levy F, Lenroot RK, Mitchell PB, Breakspear M.",Mol Psychiatry. 2018 Feb;23(2):413-421. doi: 10.1038/mp.2016.216. Epub 2016 Dec 20.,Mol Psychiatry.  2018,PubMed,citation,PMID:27994220 | PMCID:PMC5794888,pubmed,27994220,create date:2016/12/21 | first author:Roberts G,
"Multiparametric computer-aided differential diagnosis of Alzheimer's disease and frontotemporal dementia using structural and advanced MRI.",/pubmed/27986990,"Bron EE, Smits M, Papma JM, Steketee RME, Meijboom R, de Groot M, van Swieten JC, Niessen WJ, Klein S.",Eur Radiol. 2017 Aug;27(8):3372-3382. doi: 10.1007/s00330-016-4691-x. Epub 2016 Dec 16.,Eur Radiol.  2017,PubMed,citation,PMID:27986990 | PMCID:PMC5491625,pubmed,27986990,create date:2016/12/18 | first author:Bron EE,
"Microstructure Imaging of Crossing (MIX) White Matter Fibers from diffusion MRI.",/pubmed/27982056,"Farooq H, Xu J, Nam JW, Keefe DF, Yacoub E, Georgiou T, Lenglet C.",Sci Rep. 2016 Dec 16;6:38927. doi: 10.1038/srep38927.,Sci Rep.  2016,PubMed,citation,PMID:27982056 | PMCID:PMC5159854,pubmed,27982056,create date:2016/12/17 | first author:Farooq H,
"High angular resolution diffusion-weighted imaging in mild traumatic brain injury.",/pubmed/27981032,"Mohammadian M, Roine T, Hirvonen J, Kurki T, Ala-Seppälä H, Frantzén J, Katila A, Kyllönen A, Maanpää HR, Posti J, Takala R, Tallus J, Tenovuo O.",Neuroimage Clin. 2016 Nov 17;13:174-180. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:27981032 | PMCID:PMC5144744,pubmed,27981032,create date:2016/12/17 | first author:Mohammadian M,
"Automated white matter fiber tract identification in patients with brain tumors.",/pubmed/27981029,"O'Donnell LJ, Suter Y, Rigolo L, Kahali P, Zhang F, Norton I, Albi A, Olubiyi O, Meola A, Essayed WI, Unadkat P, Ciris PA, Wells WM 3rd, Rathi Y, Westin CF, Golby AJ.",Neuroimage Clin. 2016 Nov 25;13:138-153. eCollection 2017.,Neuroimage Clin.  2017,PubMed,citation,PMID:27981029 | PMCID:PMC5144756,pubmed,27981029,create date:2016/12/17 | first author:O'Donnell LJ,
"Multivariate dynamical modelling of structural change during development.",/pubmed/27979788,"Ziegler G, Ridgway GR, Blakemore SJ, Ashburner J, Penny W.",Neuroimage. 2017 Feb 15;147:746-762. doi: 10.1016/j.neuroimage.2016.12.017. Epub 2016 Dec 13.,Neuroimage.  2017,PubMed,citation,PMID:27979788 | PMCID:PMC5315058,pubmed,27979788,create date:2016/12/17 | first author:Ziegler G,
"Severe ataxia due to injuries of neural tract detected by diffusion tensor tractography in a patient with pontine hemorrhage: A case report.",/pubmed/27977594,"Jang SH, Chang CH, Jung YJ, Kwon HG.",Medicine (Baltimore). 2016 Dec;95(50):e5590.,Medicine (Baltimore).  2016,PubMed,citation,PMID:27977594 | PMCID:PMC5268040,pubmed,27977594,create date:2016/12/16 | first author:Jang SH,
"Injury of the lower ascending reticular activating system in patients with pontine hemorrhage: Diffusion tensor imaging study.",/pubmed/27977583,"Jang SH, Yeo SS.",Medicine (Baltimore). 2016 Dec;95(50):e5527.,Medicine (Baltimore).  2016,PubMed,citation,PMID:27977583 | PMCID:PMC5268029,pubmed,27977583,create date:2016/12/16 | first author:Jang SH,
"Ageing and brain white matter structure in 3,513 UK Biobank participants.",/pubmed/27976682,"Cox SR, Ritchie SJ, Tucker-Drob EM, Liewald DC, Hagenaars SP, Davies G, Wardlaw JM, Gale CR, Bastin ME, Deary IJ.",Nat Commun. 2016 Dec 15;7:13629. doi: 10.1038/ncomms13629.,Nat Commun.  2016,PubMed,citation,PMID:27976682 | PMCID:PMC5172385,pubmed,27976682,create date:2016/12/16 | first author:Cox SR,
"Correlations between the semiologic changes and the imaging aspects in the lateral bulbar infarction.",/pubmed/27974932,"Cristea I, Popa C.",J Med Life. 2016 Jul-Sep;9(3):270-274.,J Med Life.  2016,PubMed,citation,PMID:27974932 | PMCID:PMC5154312,pubmed,27974932,create date:2016/12/16 | first author:Cristea I,
"A stress-related explanation to the increased blood pressure and its course following ischemic stroke.",/pubmed/27956837,"Kvistad CE, Oygarden H, Logallo N, Thomassen L, Waje-Andreassen U, Moen G, Naess H.",Vasc Health Risk Manag. 2016 Nov 11;12:435-442. eCollection 2016.,Vasc Health Risk Manag.  2016,PubMed,citation,PMID:27956837 | PMCID:PMC5113932,pubmed,27956837,create date:2016/12/14 | first author:Kvistad CE,
